"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","StopRule","Status","ReportPath","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","BalanceDrawdownMaximal","EquityDrawdownMaximal","RecoveryFactor","RunnerStatus","RunnerEvidence","LogTimestamp","TesterStatsTimestamp"
"1","m30sc_24_12_tp20","1","independent_m30_structure_channel","1","discovery_model1","m30sc_24_12_tp20.set","older_2015_2018","2015.01.01","2018.12.31","1","configs\001_m30sc_24_12_tp20_older_2015_2018_m1.ini","m30sc_24_12_tp20_older_2015_2018_m1","profiles\m30sc_24_12_tp20.set","76E4238247E205150F48CD12C8A22BD50BFE1BF7FD3347D9F9111411D7065FEC","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 100 continuous trades, DD at or below 5%, and support from a neighboring channel/exit shape before opening 2021-2026.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\m30sc_24_12_tp20_older_2015_2018_m1.htm","10000","1460","3.9973","-159.44","9840.56","-1.59","-0.4","-0.4","0.9","-0.5","-0.94","36.59","317","12","460.29","4.59","444.19","460.29","-0.35","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"2","m30sc_24_12_tp20","1","independent_m30_structure_channel","1","discovery_model1","m30sc_24_12_tp20.set","discovery_2019_2020","2019.01.01","2020.12.31","1","configs\002_m30sc_24_12_tp20_discovery_2019_2020_m1.ini","m30sc_24_12_tp20_discovery_2019_2020_m1","profiles\m30sc_24_12_tp20.set","76E4238247E205150F48CD12C8A22BD50BFE1BF7FD3347D9F9111411D7065FEC","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 100 continuous trades, DD at or below 5%, and support from a neighboring channel/exit shape before opening 2021-2026.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\m30sc_24_12_tp20_discovery_2019_2020_m1.htm","10000","730","1.9986","16.98","10016.98","0.17","0.08","0.08","1.02","0.1","0.18","38.65","163","7","201.95","2.02","188.63","201.95","0.08","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"3","m30sc_24_12_tp20","1","independent_m30_structure_channel","1","discovery_model1","m30sc_24_12_tp20.set","continuous_2015_2020","2015.01.01","2020.12.31","1","configs\003_m30sc_24_12_tp20_continuous_2015_2020_m1.ini","m30sc_24_12_tp20_continuous_2015_2020_m1","profiles\m30sc_24_12_tp20.set","76E4238247E205150F48CD12C8A22BD50BFE1BF7FD3347D9F9111411D7065FEC","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 100 continuous trades, DD at or below 5%, and support from a neighboring channel/exit shape before opening 2021-2026.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\m30sc_24_12_tp20_continuous_2015_2020_m1.htm","10000","2191","5.9986","-143.46","9856.54","-1.43","-0.24","-0.24","0.94","-0.3","-0.54","37.29","480","12","460.29","4.59","444.19","460.29","-0.31","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"4","m30sc_48_24_tp20","2","independent_m30_structure_channel","1","discovery_model1","m30sc_48_24_tp20.set","older_2015_2018","2015.01.01","2018.12.31","1","configs\004_m30sc_48_24_tp20_older_2015_2018_m1.ini","m30sc_48_24_tp20_older_2015_2018_m1","profiles\m30sc_48_24_tp20.set","25B863BF9DC8E08CDAA529F86BA323FA3B8FC513FAAB42C604688A3C3FD41488","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 100 continuous trades, DD at or below 5%, and support from a neighboring channel/exit shape before opening 2021-2026.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\m30sc_48_24_tp20_older_2015_2018_m1.htm","10000","1460","3.9973","101.06","10101.06","1.01","0.25","0.25","1.11","0.52","0.72","44.1","195","10","239.83","2.36","215.63","239.83","0.42","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"5","m30sc_48_24_tp20","2","independent_m30_structure_channel","1","discovery_model1","m30sc_48_24_tp20.set","discovery_2019_2020","2019.01.01","2020.12.31","1","configs\005_m30sc_48_24_tp20_discovery_2019_2020_m1.ini","m30sc_48_24_tp20_discovery_2019_2020_m1","profiles\m30sc_48_24_tp20.set","25B863BF9DC8E08CDAA529F86BA323FA3B8FC513FAAB42C604688A3C3FD41488","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 100 continuous trades, DD at or below 5%, and support from a neighboring channel/exit shape before opening 2021-2026.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\m30sc_48_24_tp20_discovery_2019_2020_m1.htm","10000","730","1.9986","173.74","10173.74","1.74","0.87","0.87","1.39","1.75","2.31","44.44","99","5","176.16","1.72","99.59","176.16","0.99","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"6","m30sc_48_24_tp20","2","independent_m30_structure_channel","1","discovery_model1","m30sc_48_24_tp20.set","continuous_2015_2020","2015.01.01","2020.12.31","1","configs\006_m30sc_48_24_tp20_continuous_2015_2020_m1.ini","m30sc_48_24_tp20_continuous_2015_2020_m1","profiles\m30sc_48_24_tp20.set","25B863BF9DC8E08CDAA529F86BA323FA3B8FC513FAAB42C604688A3C3FD41488","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 100 continuous trades, DD at or below 5%, and support from a neighboring channel/exit shape before opening 2021-2026.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\m30sc_48_24_tp20_continuous_2015_2020_m1.htm","10000","2191","5.9986","307.58","10307.58","3.08","0.51","0.51","1.23","1.05","1.4","44.22","294","10","239.83","2.36","215.63","239.83","1.28","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"7","m30sc_72_36_tp20","3","independent_m30_structure_channel","1","discovery_model1","m30sc_72_36_tp20.set","older_2015_2018","2015.01.01","2018.12.31","1","configs\007_m30sc_72_36_tp20_older_2015_2018_m1.ini","m30sc_72_36_tp20_older_2015_2018_m1","profiles\m30sc_72_36_tp20.set","5402879C4DC8B2D4365C0B15781A8C652000022F48BAFB141770F065182A29F4","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 100 continuous trades, DD at or below 5%, and support from a neighboring channel/exit shape before opening 2021-2026.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\m30sc_72_36_tp20_older_2015_2018_m1.htm","10000","1460","3.9973","229.59","10229.59","2.3","0.57","0.57","1.3","1.46","1.74","42.04","157","8","237.32","2.34","196.96","237.32","0.97","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"8","m30sc_72_36_tp20","3","independent_m30_structure_channel","1","discovery_model1","m30sc_72_36_tp20.set","discovery_2019_2020","2019.01.01","2020.12.31","1","configs\008_m30sc_72_36_tp20_discovery_2019_2020_m1.ini","m30sc_72_36_tp20_discovery_2019_2020_m1","profiles\m30sc_72_36_tp20.set","5402879C4DC8B2D4365C0B15781A8C652000022F48BAFB141770F065182A29F4","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 100 continuous trades, DD at or below 5%, and support from a neighboring channel/exit shape before opening 2021-2026.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\m30sc_72_36_tp20_discovery_2019_2020_m1.htm","10000","730","1.9986","327.83","10327.83","3.28","1.64","1.63","1.94","4","4.38","48.78","82","7","151.61","1.46","82.7","151.61","2.16","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"9","m30sc_72_36_tp20","3","independent_m30_structure_channel","1","discovery_model1","m30sc_72_36_tp20.set","continuous_2015_2020","2015.01.01","2020.12.31","1","configs\009_m30sc_72_36_tp20_continuous_2015_2020_m1.ini","m30sc_72_36_tp20_continuous_2015_2020_m1","profiles\m30sc_72_36_tp20.set","5402879C4DC8B2D4365C0B15781A8C652000022F48BAFB141770F065182A29F4","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 100 continuous trades, DD at or below 5%, and support from a neighboring channel/exit shape before opening 2021-2026.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\m30sc_72_36_tp20_continuous_2015_2020_m1.htm","10000","2191","5.9986","547.52","10547.52","5.48","0.91","0.89","1.49","2.29","2.61","44.35","239","8","237.32","2.34","196.96","237.32","2.31","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"10","m30sc_48_24_tp15","4","independent_m30_structure_channel","1","discovery_model1","m30sc_48_24_tp15.set","older_2015_2018","2015.01.01","2018.12.31","1","configs\010_m30sc_48_24_tp15_older_2015_2018_m1.ini","m30sc_48_24_tp15_older_2015_2018_m1","profiles\m30sc_48_24_tp15.set","3AE01BEE59077B4C73158993A92F9DA6032E36CF5642561404C00123C6C11A29","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 100 continuous trades, DD at or below 5%, and support from a neighboring channel/exit shape before opening 2021-2026.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\m30sc_48_24_tp15_older_2015_2018_m1.htm","10000","1460","3.9973","164.87","10164.87","1.65","0.41","0.41","1.18","0.81","1.56","45.59","204","10","225.72","2.2","197.76","225.72","0.73","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"11","m30sc_48_24_tp15","4","independent_m30_structure_channel","1","discovery_model1","m30sc_48_24_tp15.set","discovery_2019_2020","2019.01.01","2020.12.31","1","configs\011_m30sc_48_24_tp15_discovery_2019_2020_m1.ini","m30sc_48_24_tp15_discovery_2019_2020_m1","profiles\m30sc_48_24_tp15.set","3AE01BEE59077B4C73158993A92F9DA6032E36CF5642561404C00123C6C11A29","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 100 continuous trades, DD at or below 5%, and support from a neighboring channel/exit shape before opening 2021-2026.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\m30sc_48_24_tp15_discovery_2019_2020_m1.htm","10000","730","1.9986","105.25","10105.25","1.05","0.53","0.53","1.23","1.04","1.6","44.55","101","5","160.94","1.58","144.64","160.94","0.65","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"12","m30sc_48_24_tp15","4","independent_m30_structure_channel","1","discovery_model1","m30sc_48_24_tp15.set","continuous_2015_2020","2015.01.01","2020.12.31","1","configs\012_m30sc_48_24_tp15_continuous_2015_2020_m1.ini","m30sc_48_24_tp15_continuous_2015_2020_m1","profiles\m30sc_48_24_tp15.set","3AE01BEE59077B4C73158993A92F9DA6032E36CF5642561404C00123C6C11A29","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 100 continuous trades, DD at or below 5%, and support from a neighboring channel/exit shape before opening 2021-2026.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\m30sc_48_24_tp15_continuous_2015_2020_m1.htm","10000","2191","5.9986","298.24","10298.24","2.98","0.5","0.49","1.22","0.98","1.71","45.25","305","10","250.18","2.44","228.37","250.18","1.19","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"13","m30sc_48_24_tp25","5","independent_m30_structure_channel","1","discovery_model1","m30sc_48_24_tp25.set","older_2015_2018","2015.01.01","2018.12.31","1","configs\013_m30sc_48_24_tp25_older_2015_2018_m1.ini","m30sc_48_24_tp25_older_2015_2018_m1","profiles\m30sc_48_24_tp25.set","042EA393B16E7A45CCD6ACE9240C92CE8FDC7224249F4523975AB870C82E4CF9","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 100 continuous trades, DD at or below 5%, and support from a neighboring channel/exit shape before opening 2021-2026.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\m30sc_48_24_tp25_older_2015_2018_m1.htm","10000","1460","3.9973","179.48","10179.48","1.79","0.45","0.45","1.2","0.93","1.12","44.79","192","9","266.28","2.62","242.08","266.28","0.67","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"14","m30sc_48_24_tp25","5","independent_m30_structure_channel","1","discovery_model1","m30sc_48_24_tp25.set","discovery_2019_2020","2019.01.01","2020.12.31","1","configs\014_m30sc_48_24_tp25_discovery_2019_2020_m1.ini","m30sc_48_24_tp25_discovery_2019_2020_m1","profiles\m30sc_48_24_tp25.set","042EA393B16E7A45CCD6ACE9240C92CE8FDC7224249F4523975AB870C82E4CF9","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 100 continuous trades, DD at or below 5%, and support from a neighboring channel/exit shape before opening 2021-2026.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\m30sc_48_24_tp25_discovery_2019_2020_m1.htm","10000","730","1.9986","163.84","10163.84","1.64","0.82","0.82","1.37","1.65","2.14","44.44","99","5","186.42","1.82","99.59","186.42","0.88","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"15","m30sc_48_24_tp25","5","independent_m30_structure_channel","1","discovery_model1","m30sc_48_24_tp25.set","continuous_2015_2020","2015.01.01","2020.12.31","1","configs\015_m30sc_48_24_tp25_continuous_2015_2020_m1.ini","m30sc_48_24_tp25_continuous_2015_2020_m1","profiles\m30sc_48_24_tp25.set","042EA393B16E7A45CCD6ACE9240C92CE8FDC7224249F4523975AB870C82E4CF9","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 100 continuous trades, DD at or below 5%, and support from a neighboring channel/exit shape before opening 2021-2026.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\m30sc_48_24_tp25_continuous_2015_2020_m1.htm","10000","2191","5.9986","374.64","10374.64","3.75","0.62","0.62","1.28","1.29","1.55","44.67","291","9","266.28","2.62","242.08","266.28","1.41","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"16","m30sc_48_24_channel","6","independent_m30_structure_channel","1","discovery_model1","m30sc_48_24_channel.set","older_2015_2018","2015.01.01","2018.12.31","1","configs\016_m30sc_48_24_channel_older_2015_2018_m1.ini","m30sc_48_24_channel_older_2015_2018_m1","profiles\m30sc_48_24_channel.set","5B43DF8EF62E5EBDB543BD5E84133D7807C2111A142C85D440354934FBCD5BDD","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 100 continuous trades, DD at or below 5%, and support from a neighboring channel/exit shape before opening 2021-2026.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\m30sc_48_24_channel_older_2015_2018_m1.htm","10000","1460","3.9973","156.68","10156.68","1.57","0.39","0.39","1.18","0.82","0.97","44.79","192","9","266.28","2.62","242.08","266.28","0.59","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"17","m30sc_48_24_channel","6","independent_m30_structure_channel","1","discovery_model1","m30sc_48_24_channel.set","discovery_2019_2020","2019.01.01","2020.12.31","1","configs\017_m30sc_48_24_channel_discovery_2019_2020_m1.ini","m30sc_48_24_channel_discovery_2019_2020_m1","profiles\m30sc_48_24_channel.set","5B43DF8EF62E5EBDB543BD5E84133D7807C2111A142C85D440354934FBCD5BDD","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 100 continuous trades, DD at or below 5%, and support from a neighboring channel/exit shape before opening 2021-2026.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\m30sc_48_24_channel_discovery_2019_2020_m1.htm","10000","730","1.9986","191.99","10191.99","1.92","0.96","0.96","1.44","1.98","2.2","44.33","97","5","161.84","1.58","99.59","161.84","1.19","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"18","m30sc_48_24_channel","6","independent_m30_structure_channel","1","discovery_model1","m30sc_48_24_channel.set","continuous_2015_2020","2015.01.01","2020.12.31","1","configs\018_m30sc_48_24_channel_continuous_2015_2020_m1.ini","m30sc_48_24_channel_continuous_2015_2020_m1","profiles\m30sc_48_24_channel.set","5B43DF8EF62E5EBDB543BD5E84133D7807C2111A142C85D440354934FBCD5BDD","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 100 continuous trades, DD at or below 5%, and support from a neighboring channel/exit shape before opening 2021-2026.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\m30sc_48_24_channel_continuous_2015_2020_m1.htm","10000","2191","5.9986","379.99","10379.99","3.8","0.63","0.62","1.29","1.31","1.5","44.64","289","9","266.28","2.62","242.08","266.28","1.43","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"19","m30sc_48_24_session","7","independent_m30_structure_channel","1","discovery_model1","m30sc_48_24_session.set","older_2015_2018","2015.01.01","2018.12.31","1","configs\019_m30sc_48_24_session_older_2015_2018_m1.ini","m30sc_48_24_session_older_2015_2018_m1","profiles\m30sc_48_24_session.set","B389E7C152D80ACBDE358DC6A3430B49FB64CA36973EF711B0F819AB9AF75805","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 100 continuous trades, DD at or below 5%, and support from a neighboring channel/exit shape before opening 2021-2026.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\m30sc_48_24_session_older_2015_2018_m1.htm","10000","1460","3.9973","45.65","10045.65","0.46","0.11","0.11","1.09","0.46","0.57","39.39","99","11","165.63","1.63","137.04","165.63","0.28","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"20","m30sc_48_24_session","7","independent_m30_structure_channel","1","discovery_model1","m30sc_48_24_session.set","discovery_2019_2020","2019.01.01","2020.12.31","1","configs\020_m30sc_48_24_session_discovery_2019_2020_m1.ini","m30sc_48_24_session_discovery_2019_2020_m1","profiles\m30sc_48_24_session.set","B389E7C152D80ACBDE358DC6A3430B49FB64CA36973EF711B0F819AB9AF75805","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 100 continuous trades, DD at or below 5%, and support from a neighboring channel/exit shape before opening 2021-2026.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\m30sc_48_24_session_discovery_2019_2020_m1.htm","10000","730","1.9986","-4.09","9995.91","-0.04","-0.02","-0.02","0.99","-0.08","-0.12","33.96","53","8","166.82","1.65","118.54","166.82","-0.02","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"21","m30sc_48_24_session","7","independent_m30_structure_channel","1","discovery_model1","m30sc_48_24_session.set","continuous_2015_2020","2015.01.01","2020.12.31","1","configs\021_m30sc_48_24_session_continuous_2015_2020_m1.ini","m30sc_48_24_session_continuous_2015_2020_m1","profiles\m30sc_48_24_session.set","B389E7C152D80ACBDE358DC6A3430B49FB64CA36973EF711B0F819AB9AF75805","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 100 continuous trades, DD at or below 5%, and support from a neighboring channel/exit shape before opening 2021-2026.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\m30sc_48_24_session_continuous_2015_2020_m1.htm","10000","2191","5.9986","39.74","10039.74","0.4","0.07","0.07","1.05","0.26","0.35","37.5","152","11","248.32","2.44","210.74","248.32","0.16","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"22","m30sc_48_24_noema","8","independent_m30_structure_channel","1","discovery_model1","m30sc_48_24_noema.set","older_2015_2018","2015.01.01","2018.12.31","1","configs\022_m30sc_48_24_noema_older_2015_2018_m1.ini","m30sc_48_24_noema_older_2015_2018_m1","profiles\m30sc_48_24_noema.set","EDFDB832CF9E5E1E0E30960E15652B8A9EAE327C4E8B1740674458915E44C297","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 100 continuous trades, DD at or below 5%, and support from a neighboring channel/exit shape before opening 2021-2026.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\m30sc_48_24_noema_older_2015_2018_m1.htm","10000","1460","3.9973","-86.62","9913.38","-0.87","-0.22","-0.22","0.94","-0.28","-0.44","40.85","306","10","300.55","2.95","258.87","300.55","-0.29","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"23","m30sc_48_24_noema","8","independent_m30_structure_channel","1","discovery_model1","m30sc_48_24_noema.set","discovery_2019_2020","2019.01.01","2020.12.31","1","configs\023_m30sc_48_24_noema_discovery_2019_2020_m1.ini","m30sc_48_24_noema_discovery_2019_2020_m1","profiles\m30sc_48_24_noema.set","EDFDB832CF9E5E1E0E30960E15652B8A9EAE327C4E8B1740674458915E44C297","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 100 continuous trades, DD at or below 5%, and support from a neighboring channel/exit shape before opening 2021-2026.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\m30sc_48_24_noema_discovery_2019_2020_m1.htm","10000","730","1.9986","22.18","10022.18","0.22","0.11","0.11","1.03","0.13","0.21","38.18","165","9","260.94","2.58","180.97","260.94","0.09","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"24","m30sc_48_24_noema","8","independent_m30_structure_channel","1","discovery_model1","m30sc_48_24_noema.set","continuous_2015_2020","2015.01.01","2020.12.31","1","configs\024_m30sc_48_24_noema_continuous_2015_2020_m1.ini","m30sc_48_24_noema_continuous_2015_2020_m1","profiles\m30sc_48_24_noema.set","EDFDB832CF9E5E1E0E30960E15652B8A9EAE327C4E8B1740674458915E44C297","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 100 continuous trades, DD at or below 5%, and support from a neighboring channel/exit shape before opening 2021-2026.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\m30sc_48_24_noema_continuous_2015_2020_m1.htm","10000","2191","5.9986","-57.74","9942.26","-0.58","-0.1","-0.1","0.97","-0.12","-0.19","39.92","471","10","396.66","3.9","361.01","396.66","-0.15","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"25","m30sc_48_24_stop2_d8","9","independent_m30_structure_channel","1","discovery_model1","m30sc_48_24_stop2_d8.set","older_2015_2018","2015.01.01","2018.12.31","1","configs\025_m30sc_48_24_stop2_d8_older_2015_2018_m1.ini","m30sc_48_24_stop2_d8_older_2015_2018_m1","profiles\m30sc_48_24_stop2_d8.set","75BAB15CA27037CD917C8A2822007575C1110E4F56B72EFBCED2B6B952C481F5","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 100 continuous trades, DD at or below 5%, and support from a neighboring channel/exit shape before opening 2021-2026.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\m30sc_48_24_stop2_d8_older_2015_2018_m1.htm","10000","1460","3.9973","-100.36","9899.64","-1","-0.25","-0.25","0.91","-0.46","-0.72","38.99","218","8","311.35","3.1","280.37","311.35","-0.32","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"26","m30sc_48_24_stop2_d8","9","independent_m30_structure_channel","1","discovery_model1","m30sc_48_24_stop2_d8.set","discovery_2019_2020","2019.01.01","2020.12.31","1","configs\026_m30sc_48_24_stop2_d8_discovery_2019_2020_m1.ini","m30sc_48_24_stop2_d8_discovery_2019_2020_m1","profiles\m30sc_48_24_stop2_d8.set","75BAB15CA27037CD917C8A2822007575C1110E4F56B72EFBCED2B6B952C481F5","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 100 continuous trades, DD at or below 5%, and support from a neighboring channel/exit shape before opening 2021-2026.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\m30sc_48_24_stop2_d8_discovery_2019_2020_m1.htm","10000","730","1.9986","-20.5","9979.5","-0.2","-0.1","-0.1","0.96","-0.19","-0.26","42.59","108","9","201.58","1.99","151.13","201.58","-0.1","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"27","m30sc_48_24_stop2_d8","9","independent_m30_structure_channel","1","discovery_model1","m30sc_48_24_stop2_d8.set","continuous_2015_2020","2015.01.01","2020.12.31","1","configs\027_m30sc_48_24_stop2_d8_continuous_2015_2020_m1.ini","m30sc_48_24_stop2_d8_continuous_2015_2020_m1","profiles\m30sc_48_24_stop2_d8.set","75BAB15CA27037CD917C8A2822007575C1110E4F56B72EFBCED2B6B952C481F5","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 100 continuous trades, DD at or below 5%, and support from a neighboring channel/exit shape before opening 2021-2026.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\m30sc_48_24_stop2_d8_continuous_2015_2020_m1.htm","10000","2191","5.9986","-118.49","9881.51","-1.18","-0.2","-0.2","0.93","-0.36","-0.54","40.18","326","9","353.88","3.5","314.42","353.88","-0.33","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"28","m30sc_48_24_stop5","10","independent_m30_structure_channel","1","discovery_model1","m30sc_48_24_stop5.set","older_2015_2018","2015.01.01","2018.12.31","1","configs\028_m30sc_48_24_stop5_older_2015_2018_m1.ini","m30sc_48_24_stop5_older_2015_2018_m1","profiles\m30sc_48_24_stop5.set","49EDD6BE92C5B056C3F7C8BA04FEFACB51E1668E17FCE1AFAE645FF69F190D90","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 100 continuous trades, DD at or below 5%, and support from a neighboring channel/exit shape before opening 2021-2026.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\m30sc_48_24_stop5_older_2015_2018_m1.htm","10000","1460","3.9973","113.86","10113.86","1.14","0.28","0.28","1.19","0.79","1","47.92","144","7","131.32","1.28","99","131.32","0.87","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"29","m30sc_48_24_stop5","10","independent_m30_structure_channel","1","discovery_model1","m30sc_48_24_stop5.set","discovery_2019_2020","2019.01.01","2020.12.31","1","configs\029_m30sc_48_24_stop5_discovery_2019_2020_m1.ini","m30sc_48_24_stop5_discovery_2019_2020_m1","profiles\m30sc_48_24_stop5.set","49EDD6BE92C5B056C3F7C8BA04FEFACB51E1668E17FCE1AFAE645FF69F190D90","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 100 continuous trades, DD at or below 5%, and support from a neighboring channel/exit shape before opening 2021-2026.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\m30sc_48_24_stop5_discovery_2019_2020_m1.htm","10000","730","1.9986","194.21","10194.21","1.94","0.97","0.97","1.55","2.37","3.1","45.12","82","8","148.3","1.45","117.58","148.3","1.31","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"30","m30sc_48_24_stop5","10","independent_m30_structure_channel","1","discovery_model1","m30sc_48_24_stop5.set","continuous_2015_2020","2015.01.01","2020.12.31","1","configs\030_m30sc_48_24_stop5_continuous_2015_2020_m1.ini","m30sc_48_24_stop5_continuous_2015_2020_m1","profiles\m30sc_48_24_stop5.set","49EDD6BE92C5B056C3F7C8BA04FEFACB51E1668E17FCE1AFAE645FF69F190D90","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 100 continuous trades, DD at or below 5%, and support from a neighboring channel/exit shape before opening 2021-2026.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\m30sc_48_24_stop5_continuous_2015_2020_m1.htm","10000","2191","5.9986","306.61","10306.61","3.07","0.51","0.5","1.32","1.36","1.73","46.9","226","8","173.6","1.69","139.33","173.6","1.77","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
