"Worker","QueueRank","Candidate","Window","Status","ReportPath","Evidence","PackageSourceSha256","PortableBinarySha256","PortableExpertRecompiled","Started","Finished"
"1","1","rddi_released_control","older_2015_2018","REPORT_FOUND","outputs\reversion_di_distance_interaction_discovery_model1_package\reports_here\rddi_released_control_older_2015_2018_m1.htm","Portable worker exported and copied the full MT5 report.","7E8D680807B0565992ECC9B98E15C636A86AF34742194687DBB64D61CE2EFD7A","6860F78435417C2BE5061212823FCB24AFCC80CE9EDA0D3DA1586E7B49586B39","False","2026-07-18T00:57:05","2026-07-18T00:57:24"
"2","2","rddi_released_control","repair_2019","REPORT_FOUND","outputs\reversion_di_distance_interaction_discovery_model1_package\reports_here\rddi_released_control_repair_2019_m1.htm","Portable worker exported and copied the full MT5 report.","7E8D680807B0565992ECC9B98E15C636A86AF34742194687DBB64D61CE2EFD7A","31435427992EC6F59D46AA1A4F11C68C8F5EC255C8E60F9652A3EF46235D7D7E","False","2026-07-18T00:57:05","2026-07-18T00:57:22"
"3","3","rddi_released_control","repair_2020","REPORT_FOUND","outputs\reversion_di_distance_interaction_discovery_model1_package\reports_here\rddi_released_control_repair_2020_m1.htm","Portable worker exported and copied the full MT5 report.","7E8D680807B0565992ECC9B98E15C636A86AF34742194687DBB64D61CE2EFD7A","7F4AF99B996B705C2C38F65669DECC1CBBBF13AAC6429DE752FD78299479B190","False","2026-07-18T00:57:05","2026-07-18T00:57:23"
"4","4","rddi_released_control","continuous_2015_2020","REPORT_FOUND","outputs\reversion_di_distance_interaction_discovery_model1_package\reports_here\rddi_released_control_continuous_2015_2020_m1.htm","Portable worker exported and copied the full MT5 report.","7E8D680807B0565992ECC9B98E15C636A86AF34742194687DBB64D61CE2EFD7A","11169E96E47CF5CEF34CCBC5FCA05473B600CEFBC52A3DF2106DBF6AD10198C7","False","2026-07-18T00:59:33","2026-07-18T00:59:48"
"1","5","rddi_di10_parent","older_2015_2018","REPORT_FOUND","outputs\reversion_di_distance_interaction_discovery_model1_package\reports_here\rddi_di10_parent_older_2015_2018_m1.htm","Portable worker exported and copied the full MT5 report.","7E8D680807B0565992ECC9B98E15C636A86AF34742194687DBB64D61CE2EFD7A","6860F78435417C2BE5061212823FCB24AFCC80CE9EDA0D3DA1586E7B49586B39","False","2026-07-18T00:57:24","2026-07-18T00:57:42"
"2","6","rddi_di10_parent","repair_2019","REPORT_FOUND","outputs\reversion_di_distance_interaction_discovery_model1_package\reports_here\rddi_di10_parent_repair_2019_m1.htm","Portable worker exported and copied the full MT5 report.","7E8D680807B0565992ECC9B98E15C636A86AF34742194687DBB64D61CE2EFD7A","31435427992EC6F59D46AA1A4F11C68C8F5EC255C8E60F9652A3EF46235D7D7E","False","2026-07-18T00:57:22","2026-07-18T00:57:38"
"3","7","rddi_di10_parent","repair_2020","REPORT_FOUND","outputs\reversion_di_distance_interaction_discovery_model1_package\reports_here\rddi_di10_parent_repair_2020_m1.htm","Portable worker exported and copied the full MT5 report.","7E8D680807B0565992ECC9B98E15C636A86AF34742194687DBB64D61CE2EFD7A","7F4AF99B996B705C2C38F65669DECC1CBBBF13AAC6429DE752FD78299479B190","False","2026-07-18T00:57:23","2026-07-18T00:57:40"
"4","8","rddi_di10_parent","continuous_2015_2020","REPORT_FOUND","outputs\reversion_di_distance_interaction_discovery_model1_package\reports_here\rddi_di10_parent_continuous_2015_2020_m1.htm","Portable worker exported and copied the full MT5 report.","7E8D680807B0565992ECC9B98E15C636A86AF34742194687DBB64D61CE2EFD7A","11169E96E47CF5CEF34CCBC5FCA05473B600CEFBC52A3DF2106DBF6AD10198C7","False","2026-07-18T00:59:48","2026-07-18T01:00:02"
"1","9","rddi_di10_m12","older_2015_2018","REPORT_FOUND","outputs\reversion_di_distance_interaction_discovery_model1_package\reports_here\rddi_di10_m12_older_2015_2018_m1.htm","Portable worker exported and copied the full MT5 report.","7E8D680807B0565992ECC9B98E15C636A86AF34742194687DBB64D61CE2EFD7A","6860F78435417C2BE5061212823FCB24AFCC80CE9EDA0D3DA1586E7B49586B39","False","2026-07-18T00:57:42","2026-07-18T00:58:00"
"2","10","rddi_di10_m12","repair_2019","REPORT_FOUND","outputs\reversion_di_distance_interaction_discovery_model1_package\reports_here\rddi_di10_m12_repair_2019_m1.htm","Portable worker exported and copied the full MT5 report.","7E8D680807B0565992ECC9B98E15C636A86AF34742194687DBB64D61CE2EFD7A","31435427992EC6F59D46AA1A4F11C68C8F5EC255C8E60F9652A3EF46235D7D7E","False","2026-07-18T00:57:38","2026-07-18T00:57:52"
"3","11","rddi_di10_m12","repair_2020","REPORT_FOUND","outputs\reversion_di_distance_interaction_discovery_model1_package\reports_here\rddi_di10_m12_repair_2020_m1.htm","Portable worker exported and copied the full MT5 report.","7E8D680807B0565992ECC9B98E15C636A86AF34742194687DBB64D61CE2EFD7A","7F4AF99B996B705C2C38F65669DECC1CBBBF13AAC6429DE752FD78299479B190","False","2026-07-18T00:57:40","2026-07-18T00:57:57"
"4","12","rddi_di10_m12","continuous_2015_2020","REPORT_FOUND","outputs\reversion_di_distance_interaction_discovery_model1_package\reports_here\rddi_di10_m12_continuous_2015_2020_m1.htm","Portable worker exported and copied the full MT5 report.","7E8D680807B0565992ECC9B98E15C636A86AF34742194687DBB64D61CE2EFD7A","11169E96E47CF5CEF34CCBC5FCA05473B600CEFBC52A3DF2106DBF6AD10198C7","False","2026-07-18T00:57:38","2026-07-18T00:57:57"
"1","13","rddi_di10_m10_center","older_2015_2018","REPORT_FOUND","outputs\reversion_di_distance_interaction_discovery_model1_package\reports_here\rddi_di10_m10_center_older_2015_2018_m1.htm","Portable worker exported and copied the full MT5 report.","7E8D680807B0565992ECC9B98E15C636A86AF34742194687DBB64D61CE2EFD7A","6860F78435417C2BE5061212823FCB24AFCC80CE9EDA0D3DA1586E7B49586B39","False","2026-07-18T00:58:00","2026-07-18T00:58:19"
"2","14","rddi_di10_m10_center","repair_2019","REPORT_FOUND","outputs\reversion_di_distance_interaction_discovery_model1_package\reports_here\rddi_di10_m10_center_repair_2019_m1.htm","Portable worker exported and copied the full MT5 report.","7E8D680807B0565992ECC9B98E15C636A86AF34742194687DBB64D61CE2EFD7A","31435427992EC6F59D46AA1A4F11C68C8F5EC255C8E60F9652A3EF46235D7D7E","False","2026-07-18T00:57:52","2026-07-18T00:58:07"
"3","15","rddi_di10_m10_center","repair_2020","REPORT_FOUND","outputs\reversion_di_distance_interaction_discovery_model1_package\reports_here\rddi_di10_m10_center_repair_2020_m1.htm","Portable worker exported and copied the full MT5 report.","7E8D680807B0565992ECC9B98E15C636A86AF34742194687DBB64D61CE2EFD7A","7F4AF99B996B705C2C38F65669DECC1CBBBF13AAC6429DE752FD78299479B190","False","2026-07-18T00:57:57","2026-07-18T00:58:11"
"4","16","rddi_di10_m10_center","continuous_2015_2020","REPORT_FOUND","outputs\reversion_di_distance_interaction_discovery_model1_package\reports_here\rddi_di10_m10_center_continuous_2015_2020_m1.htm","Portable worker exported and copied the full MT5 report.","7E8D680807B0565992ECC9B98E15C636A86AF34742194687DBB64D61CE2EFD7A","11169E96E47CF5CEF34CCBC5FCA05473B600CEFBC52A3DF2106DBF6AD10198C7","False","2026-07-18T01:00:02","2026-07-18T01:00:18"
"1","17","rddi_di10_m8","older_2015_2018","REPORT_FOUND","outputs\reversion_di_distance_interaction_discovery_model1_package\reports_here\rddi_di10_m8_older_2015_2018_m1.htm","Portable worker exported and copied the full MT5 report.","7E8D680807B0565992ECC9B98E15C636A86AF34742194687DBB64D61CE2EFD7A","6860F78435417C2BE5061212823FCB24AFCC80CE9EDA0D3DA1586E7B49586B39","False","2026-07-18T00:58:19","2026-07-18T00:58:33"
"2","18","rddi_di10_m8","repair_2019","REPORT_FOUND","outputs\reversion_di_distance_interaction_discovery_model1_package\reports_here\rddi_di10_m8_repair_2019_m1.htm","Portable worker exported and copied the full MT5 report.","7E8D680807B0565992ECC9B98E15C636A86AF34742194687DBB64D61CE2EFD7A","31435427992EC6F59D46AA1A4F11C68C8F5EC255C8E60F9652A3EF46235D7D7E","False","2026-07-18T00:58:07","2026-07-18T00:58:21"
"3","19","rddi_di10_m8","repair_2020","REPORT_FOUND","outputs\reversion_di_distance_interaction_discovery_model1_package\reports_here\rddi_di10_m8_repair_2020_m1.htm","Portable worker exported and copied the full MT5 report.","7E8D680807B0565992ECC9B98E15C636A86AF34742194687DBB64D61CE2EFD7A","7F4AF99B996B705C2C38F65669DECC1CBBBF13AAC6429DE752FD78299479B190","False","2026-07-18T00:58:11","2026-07-18T00:58:26"
"4","20","rddi_di10_m8","continuous_2015_2020","REPORT_FOUND","outputs\reversion_di_distance_interaction_discovery_model1_package\reports_here\rddi_di10_m8_continuous_2015_2020_m1.htm","Portable worker exported and copied the full MT5 report.","7E8D680807B0565992ECC9B98E15C636A86AF34742194687DBB64D61CE2EFD7A","11169E96E47CF5CEF34CCBC5FCA05473B600CEFBC52A3DF2106DBF6AD10198C7","False","2026-07-18T00:58:09","2026-07-18T00:58:28"
