"Rank","Priority","Phase","Profile","Set","Window","From","To","ExpectedReportName","Status","ReportPath","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","BalanceDrawdownMaximal","EquityDrawdownMaximal","RecoveryFactor"
"1","1","reversion_reward_quality_risk_discovery_model1","rqri_control","control","older_2015_2018","2015.01.01","2018.12.31","rqri_control_older_2015_2018_m1","PARSED","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\reports_here\rqri_control_older_2015_2018_m1.htm","10000","1460","3.9973","1036.19","11036.19","10.36","2.59","2.5","1.96","5.63","5.45","45.65","184","6","117.21","1.11","84.54","117.21","8.8405"
"2","2","reversion_reward_quality_risk_discovery_model1","rqri_control","control","discovery_2019_2020","2019.01.01","2020.12.31","rqri_control_discovery_2019_2020_m1","PARSED","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\reports_here\rqri_control_discovery_2019_2020_m1.htm","10000","730","1.9986","370.6","10370.6","3.71","1.85","1.84","1.94","5.01","5.64","47.3","74","6","94.65","0.93","73.83","94.65","3.9155"
"3","3","reversion_reward_quality_risk_discovery_model1","rqri_control","control","continuous_2015_2020","2015.01.01","2020.12.31","rqri_control_continuous_2015_2020_m1","PARSED","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\reports_here\rqri_control_continuous_2015_2020_m1.htm","10000","2191","5.9986","1379.93","11379.93","13.8","2.3","2.18","1.88","5.29","5.15","45.98","261","6","118.17","1.05","97.35","118.17","11.6775"
"4","4","reversion_reward_quality_risk_discovery_model1","rqri_body070","body_risk_diagnostic","older_2015_2018","2015.01.01","2018.12.31","rqri_body070_older_2015_2018_m1","PARSED","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\reports_here\rqri_body070_older_2015_2018_m1.htm","10000","1460","3.9973","1029.41","11029.41","10.29","2.58","2.48","1.95","5.59","5.4","45.65","184","6","117.21","1.11","84.54","117.21","8.7826"
"5","5","reversion_reward_quality_risk_discovery_model1","rqri_body070","body_risk_diagnostic","discovery_2019_2020","2019.01.01","2020.12.31","rqri_body070_discovery_2019_2020_m1","PARSED","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\reports_here\rqri_body070_discovery_2019_2020_m1.htm","10000","730","1.9986","354.88","10354.88","3.55","1.78","1.76","1.86","4.8","5.34","47.3","74","6","94.65","0.93","73.83","94.65","3.7494"
"6","6","reversion_reward_quality_risk_discovery_model1","rqri_body070","body_risk_diagnostic","continuous_2015_2020","2015.01.01","2020.12.31","rqri_body070_continuous_2015_2020_m1","PARSED","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\reports_here\rqri_body070_continuous_2015_2020_m1.htm","10000","2191","5.9986","1369.88","11369.88","13.7","2.28","2.16","1.87","5.25","5.09","45.98","261","6","118.17","1.06","97.35","118.17","11.5925"
"7","7","reversion_reward_quality_risk_discovery_model1","rqri_rr135","reward_lower","older_2015_2018","2015.01.01","2018.12.31","rqri_rr135_older_2015_2018_m1","PARSED","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\reports_here\rqri_rr135_older_2015_2018_m1.htm","10000","1460","3.9973","1029.41","11029.41","10.29","2.58","2.48","1.95","5.59","5.4","45.65","184","6","117.21","1.11","84.54","117.21","8.7826"
"8","8","reversion_reward_quality_risk_discovery_model1","rqri_rr135","reward_lower","discovery_2019_2020","2019.01.01","2020.12.31","rqri_rr135_discovery_2019_2020_m1","PARSED","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\reports_here\rqri_rr135_discovery_2019_2020_m1.htm","10000","730","1.9986","354.88","10354.88","3.55","1.78","1.76","1.86","4.8","5.34","47.3","74","6","94.65","0.93","73.83","94.65","3.7494"
"9","9","reversion_reward_quality_risk_discovery_model1","rqri_rr135","reward_lower","continuous_2015_2020","2015.01.01","2020.12.31","rqri_rr135_continuous_2015_2020_m1","PARSED","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\reports_here\rqri_rr135_continuous_2015_2020_m1.htm","10000","2191","5.9986","1369.88","11369.88","13.7","2.28","2.16","1.87","5.25","5.09","45.98","261","6","118.17","1.06","97.35","118.17","11.5925"
"10","10","reversion_reward_quality_risk_discovery_model1","rqri_center150_070","center","older_2015_2018","2015.01.01","2018.12.31","rqri_center150_070_older_2015_2018_m1","PARSED","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\reports_here\rqri_center150_070_older_2015_2018_m1.htm","10000","1460","3.9973","1029.41","11029.41","10.29","2.58","2.48","1.95","5.59","5.4","45.65","184","6","117.21","1.11","84.54","117.21","8.7826"
"11","11","reversion_reward_quality_risk_discovery_model1","rqri_center150_070","center","discovery_2019_2020","2019.01.01","2020.12.31","rqri_center150_070_discovery_2019_2020_m1","PARSED","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\reports_here\rqri_center150_070_discovery_2019_2020_m1.htm","10000","730","1.9986","354.88","10354.88","3.55","1.78","1.76","1.86","4.8","5.34","47.3","74","6","94.65","0.93","73.83","94.65","3.7494"
"12","12","reversion_reward_quality_risk_discovery_model1","rqri_center150_070","center","continuous_2015_2020","2015.01.01","2020.12.31","rqri_center150_070_continuous_2015_2020_m1","PARSED","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\reports_here\rqri_center150_070_continuous_2015_2020_m1.htm","10000","2191","5.9986","1369.88","11369.88","13.7","2.28","2.16","1.87","5.25","5.09","45.98","261","6","118.17","1.06","97.35","118.17","11.5925"
"13","13","reversion_reward_quality_risk_discovery_model1","rqri_rr165","reward_upper","older_2015_2018","2015.01.01","2018.12.31","rqri_rr165_older_2015_2018_m1","PARSED","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\reports_here\rqri_rr165_older_2015_2018_m1.htm","10000","1460","3.9973","1029.41","11029.41","10.29","2.58","2.48","1.95","5.59","5.4","45.65","184","6","117.21","1.11","84.54","117.21","8.7826"
"14","14","reversion_reward_quality_risk_discovery_model1","rqri_rr165","reward_upper","discovery_2019_2020","2019.01.01","2020.12.31","rqri_rr165_discovery_2019_2020_m1","PARSED","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\reports_here\rqri_rr165_discovery_2019_2020_m1.htm","10000","730","1.9986","354.88","10354.88","3.55","1.78","1.76","1.86","4.8","5.34","47.3","74","6","94.65","0.93","73.83","94.65","3.7494"
"15","15","reversion_reward_quality_risk_discovery_model1","rqri_rr165","reward_upper","continuous_2015_2020","2015.01.01","2020.12.31","rqri_rr165_continuous_2015_2020_m1","PARSED","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\reports_here\rqri_rr165_continuous_2015_2020_m1.htm","10000","2191","5.9986","1369.88","11369.88","13.7","2.28","2.16","1.87","5.25","5.09","45.98","261","6","118.17","1.06","97.35","118.17","11.5925"
"16","16","reversion_reward_quality_risk_discovery_model1","rqri_risk065","risk_lower","older_2015_2018","2015.01.01","2018.12.31","rqri_risk065_older_2015_2018_m1","PARSED","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\reports_here\rqri_risk065_older_2015_2018_m1.htm","10000","1460","3.9973","1029.41","11029.41","10.29","2.58","2.48","1.95","5.59","5.4","45.65","184","6","117.21","1.11","84.54","117.21","8.7826"
"17","17","reversion_reward_quality_risk_discovery_model1","rqri_risk065","risk_lower","discovery_2019_2020","2019.01.01","2020.12.31","rqri_risk065_discovery_2019_2020_m1","PARSED","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\reports_here\rqri_risk065_discovery_2019_2020_m1.htm","10000","730","1.9986","354.88","10354.88","3.55","1.78","1.76","1.86","4.8","5.34","47.3","74","6","94.65","0.93","73.83","94.65","3.7494"
"18","18","reversion_reward_quality_risk_discovery_model1","rqri_risk065","risk_lower","continuous_2015_2020","2015.01.01","2020.12.31","rqri_risk065_continuous_2015_2020_m1","PARSED","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\reports_here\rqri_risk065_continuous_2015_2020_m1.htm","10000","2191","5.9986","1369.88","11369.88","13.7","2.28","2.16","1.87","5.25","5.09","45.98","261","6","118.17","1.06","97.35","118.17","11.5925"
"19","19","reversion_reward_quality_risk_discovery_model1","rqri_risk075","risk_upper","older_2015_2018","2015.01.01","2018.12.31","rqri_risk075_older_2015_2018_m1","PARSED","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\reports_here\rqri_risk075_older_2015_2018_m1.htm","10000","1460","3.9973","1029.41","11029.41","10.29","2.58","2.48","1.95","5.59","5.4","45.65","184","6","117.21","1.11","84.54","117.21","8.7826"
"20","20","reversion_reward_quality_risk_discovery_model1","rqri_risk075","risk_upper","discovery_2019_2020","2019.01.01","2020.12.31","rqri_risk075_discovery_2019_2020_m1","PARSED","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\reports_here\rqri_risk075_discovery_2019_2020_m1.htm","10000","730","1.9986","354.88","10354.88","3.55","1.78","1.76","1.86","4.8","5.34","47.3","74","6","94.65","0.93","73.83","94.65","3.7494"
"21","21","reversion_reward_quality_risk_discovery_model1","rqri_risk075","risk_upper","continuous_2015_2020","2015.01.01","2020.12.31","rqri_risk075_continuous_2015_2020_m1","PARSED","outputs\three_lane_reversion_reward_quality_risk_discovery_model1_package\reports_here\rqri_risk075_continuous_2015_2020_m1.htm","10000","2191","5.9986","1369.88","11369.88","13.7","2.28","2.16","1.87","5.25","5.09","45.98","261","6","118.17","1.06","97.35","118.17","11.5925"
