"QueueRank","Candidate","Role","RewardQualityEnabled","MinimumAdjustedRiskReward","Window","From","To","Model","ProfileSha256","SourceSha256","BinarySha256","Status","NetProfit","TotalReturnPercent","CagrPercent","ProfitFactor","TotalTrades","WinRatePercent","MaxDrawdownMoney","MaxDrawdownPercent","RecoveryFactor","ReturnDrawdown","SharpeRatio","MaxConsecutiveLosses","ReportSha256"
"1","rvsrq_control","control","false","1.2","older_2015_2018","2015.01.01","2018.12.31","1","2F80F0046082313DDE6DBB4A615311BD7D325210739FAD0012EE754E29B87CA5","0AF69BFE66200C6CB6F1D4C83A3F4BF3989DFA79E15596A27F384787991A3186","730E3A347B4A1C8D2C724E7B5A124137AD50F0B91F200BC3D848CBDAECB9EF03","PARSED","860.86","8.61","2.09","1.79","187","44.92","105.51","1.01","8.159","8.5248","5.1","6","B81D7D9C20E6E964A460E4246BBB76414698A32E66F7A398C1D94CEE42111426"
"2","rvsrq_control","control","false","1.2","middle_2019_2022","2019.01.01","2022.12.31","1","2F80F0046082313DDE6DBB4A615311BD7D325210739FAD0012EE754E29B87CA5","0AF69BFE66200C6CB6F1D4C83A3F4BF3989DFA79E15596A27F384787991A3186","730E3A347B4A1C8D2C724E7B5A124137AD50F0B91F200BC3D848CBDAECB9EF03","PARSED","694.54","6.95","1.69","1.81","141","41.84","121.19","1.17","5.731","5.9402","5.47","8","029D739095B9EFFDF7DD543BA84F8DE1E466FA0B75B392ADDD245793A3EB8E37"
"3","rvsrq_control","control","false","1.2","recent_2023_2026","2023.01.01","2026.07.12","1","2F80F0046082313DDE6DBB4A615311BD7D325210739FAD0012EE754E29B87CA5","0AF69BFE66200C6CB6F1D4C83A3F4BF3989DFA79E15596A27F384787991A3186","730E3A347B4A1C8D2C724E7B5A124137AD50F0B91F200BC3D848CBDAECB9EF03","PARSED","601.99","6.02","1.67","2.28","76","48.68","127.62","1.2","4.7171","5.0167","5.46","6","22A013248E18B537107471307CD74558D5C64AF4F22DFE6B67A41A73726AD695"
"4","rvsrq_control","control","false","1.2","continuous_2015_2026","2015.01.01","2026.07.12","1","2F80F0046082313DDE6DBB4A615311BD7D325210739FAD0012EE754E29B87CA5","0AF69BFE66200C6CB6F1D4C83A3F4BF3989DFA79E15596A27F384787991A3186","730E3A347B4A1C8D2C724E7B5A124137AD50F0B91F200BC3D848CBDAECB9EF03","PARSED","2195.53","21.96","1.74","1.83","415","44.82","138.81","1.17","15.8168","18.7692","4.58","8","85502A2ED243F77FDB3AA4E051FBDD93CBF4A54C8EA7E51CFC1736E20069EC4A"
"5","rvsrq_unfiltered","diagnostic","false","1.2","older_2015_2018","2015.01.01","2018.12.31","1","E191E6F829EF1193BD11B4BE3C18151E509821BCCD60007ADA20A06041E62E1B","0AF69BFE66200C6CB6F1D4C83A3F4BF3989DFA79E15596A27F384787991A3186","730E3A347B4A1C8D2C724E7B5A124137AD50F0B91F200BC3D848CBDAECB9EF03","PARSED","860.86","8.61","2.09","1.79","187","44.92","105.51","1.01","8.159","8.5248","5.1","6","399E9BDB1AAB7790C1781904D124E6DFAC2326534631491DD8B8EB9AA597AD7E"
"6","rvsrq_unfiltered","diagnostic","false","1.2","middle_2019_2022","2019.01.01","2022.12.31","1","E191E6F829EF1193BD11B4BE3C18151E509821BCCD60007ADA20A06041E62E1B","0AF69BFE66200C6CB6F1D4C83A3F4BF3989DFA79E15596A27F384787991A3186","730E3A347B4A1C8D2C724E7B5A124137AD50F0B91F200BC3D848CBDAECB9EF03","PARSED","752.95","7.53","1.83","1.88","141","41.84","127.98","1.24","5.8833","6.0726","5.53","8","16BA5CEA92462E751710E7AB691A9E858B4A84A17B240D88CF8F0FA172AEA6DF"
"7","rvsrq_unfiltered","diagnostic","false","1.2","recent_2023_2026","2023.01.01","2026.07.12","1","E191E6F829EF1193BD11B4BE3C18151E509821BCCD60007ADA20A06041E62E1B","0AF69BFE66200C6CB6F1D4C83A3F4BF3989DFA79E15596A27F384787991A3186","730E3A347B4A1C8D2C724E7B5A124137AD50F0B91F200BC3D848CBDAECB9EF03","PARSED","682.6","6.83","1.89","2.42","76","48.68","127.62","1.2","5.3487","5.6917","5.72","6","E140EE1925B17163F9620AFE684C646746F8366DDB00EE143C39DE2C31FCB2D1"
"8","rvsrq_unfiltered","diagnostic","false","1.2","continuous_2015_2026","2015.01.01","2026.07.12","1","E191E6F829EF1193BD11B4BE3C18151E509821BCCD60007ADA20A06041E62E1B","0AF69BFE66200C6CB6F1D4C83A3F4BF3989DFA79E15596A27F384787991A3186","730E3A347B4A1C8D2C724E7B5A124137AD50F0B91F200BC3D848CBDAECB9EF03","PARSED","2391.89","23.92","1.88","1.89","415","44.82","144.42","1.21","16.562","19.7686","4.65","8","ABD9B037AE2E0900500EBC22A526E246063D04E40CA25A04C14D9C32C8E57366"
"9","rvsrq_rr135","lower_neighbor","true","1.35","older_2015_2018","2015.01.01","2018.12.31","1","A5A0AB8059D9590F50F7701AC9D686B7DF9396933619B8157DAC89125FF862B1","0AF69BFE66200C6CB6F1D4C83A3F4BF3989DFA79E15596A27F384787991A3186","730E3A347B4A1C8D2C724E7B5A124137AD50F0B91F200BC3D848CBDAECB9EF03","PARSED","860.86","8.61","2.09","1.79","187","44.92","105.51","1.01","8.159","8.5248","5.1","6","EA6AD1BC1DC94C02C43DC0116204C6835592404FD494B6E07AAE10298A07EA11"
"10","rvsrq_rr135","lower_neighbor","true","1.35","middle_2019_2022","2019.01.01","2022.12.31","1","A5A0AB8059D9590F50F7701AC9D686B7DF9396933619B8157DAC89125FF862B1","0AF69BFE66200C6CB6F1D4C83A3F4BF3989DFA79E15596A27F384787991A3186","730E3A347B4A1C8D2C724E7B5A124137AD50F0B91F200BC3D848CBDAECB9EF03","PARSED","752.95","7.53","1.83","1.88","141","41.84","127.98","1.24","5.8833","6.0726","5.53","8","128FBDD6CAFE2579033D30285E1AE3A9D07D1A4F26E05AA1BC7E1077F14FDCB9"
"11","rvsrq_rr135","lower_neighbor","true","1.35","recent_2023_2026","2023.01.01","2026.07.12","1","A5A0AB8059D9590F50F7701AC9D686B7DF9396933619B8157DAC89125FF862B1","0AF69BFE66200C6CB6F1D4C83A3F4BF3989DFA79E15596A27F384787991A3186","730E3A347B4A1C8D2C724E7B5A124137AD50F0B91F200BC3D848CBDAECB9EF03","PARSED","682.6","6.83","1.89","2.42","76","48.68","127.62","1.2","5.3487","5.6917","5.72","6","CCF72BB28DCA9CA2E42C8F83DE8D844AA4A688954C3FAA5F1F7544B617BC724F"
"12","rvsrq_rr135","lower_neighbor","true","1.35","continuous_2015_2026","2015.01.01","2026.07.12","1","A5A0AB8059D9590F50F7701AC9D686B7DF9396933619B8157DAC89125FF862B1","0AF69BFE66200C6CB6F1D4C83A3F4BF3989DFA79E15596A27F384787991A3186","730E3A347B4A1C8D2C724E7B5A124137AD50F0B91F200BC3D848CBDAECB9EF03","PARSED","2391.89","23.92","1.88","1.89","415","44.82","144.42","1.21","16.562","19.7686","4.65","8","21D11095C57803BFCCA6C344F4CB18F35B743B55B3A81DE9A402E5EAA9C0B6D3"
"13","rvsrq_rr150","center","true","1.5","older_2015_2018","2015.01.01","2018.12.31","1","75ADBEE281412F3BF8CDB1A4C3B4C3C90EBAE4E39E7FEF72E20D5D8B8A13F2F1","0AF69BFE66200C6CB6F1D4C83A3F4BF3989DFA79E15596A27F384787991A3186","730E3A347B4A1C8D2C724E7B5A124137AD50F0B91F200BC3D848CBDAECB9EF03","PARSED","860.86","8.61","2.09","1.79","187","44.92","105.51","1.01","8.159","8.5248","5.1","6","05911C7C0F3DFC9282790ADB57ADCA62D71E15CB21919732B7C70264E3B44576"
"14","rvsrq_rr150","center","true","1.5","middle_2019_2022","2019.01.01","2022.12.31","1","75ADBEE281412F3BF8CDB1A4C3B4C3C90EBAE4E39E7FEF72E20D5D8B8A13F2F1","0AF69BFE66200C6CB6F1D4C83A3F4BF3989DFA79E15596A27F384787991A3186","730E3A347B4A1C8D2C724E7B5A124137AD50F0B91F200BC3D848CBDAECB9EF03","PARSED","752.95","7.53","1.83","1.88","141","41.84","127.98","1.24","5.8833","6.0726","5.53","8","23F743F63367D23BB2A73CA94232D34029321058568217F5054D88401FDB7003"
"15","rvsrq_rr150","center","true","1.5","recent_2023_2026","2023.01.01","2026.07.12","1","75ADBEE281412F3BF8CDB1A4C3B4C3C90EBAE4E39E7FEF72E20D5D8B8A13F2F1","0AF69BFE66200C6CB6F1D4C83A3F4BF3989DFA79E15596A27F384787991A3186","730E3A347B4A1C8D2C724E7B5A124137AD50F0B91F200BC3D848CBDAECB9EF03","PARSED","631.16","6.31","1.75","2.33","76","48.68","127.62","1.2","4.9456","5.2583","5.43","6","F9DF454D6A173ACF00C02595BF0FD9D76D1C97C48A020F1A6245B221F9AE196F"
"16","rvsrq_rr150","center","true","1.5","continuous_2015_2026","2015.01.01","2026.07.12","1","75ADBEE281412F3BF8CDB1A4C3B4C3C90EBAE4E39E7FEF72E20D5D8B8A13F2F1","0AF69BFE66200C6CB6F1D4C83A3F4BF3989DFA79E15596A27F384787991A3186","730E3A347B4A1C8D2C724E7B5A124137AD50F0B91F200BC3D848CBDAECB9EF03","PARSED","2342.63","23.43","1.84","1.88","415","44.82","144.42","1.21","16.221","19.3636","4.6","8","9496A299A11A48C5545DC2E7C8BA7D1968448419F69CC01CB960D0A54EB15922"
"17","rvsrq_rr165","upper_neighbor","true","1.65","older_2015_2018","2015.01.01","2018.12.31","1","9FE0CDA4CF95A421B19646148B6BE52DF8340FE87D22175F5D4F3B5056E71FBC","0AF69BFE66200C6CB6F1D4C83A3F4BF3989DFA79E15596A27F384787991A3186","730E3A347B4A1C8D2C724E7B5A124137AD50F0B91F200BC3D848CBDAECB9EF03","PARSED","860.86","8.61","2.09","1.79","187","44.92","105.51","1.01","8.159","8.5248","5.1","6","987A214AE91F5D8CA761DBAD8513DF68058854B51A372A62DAEF04DE93F6762D"
"18","rvsrq_rr165","upper_neighbor","true","1.65","middle_2019_2022","2019.01.01","2022.12.31","1","9FE0CDA4CF95A421B19646148B6BE52DF8340FE87D22175F5D4F3B5056E71FBC","0AF69BFE66200C6CB6F1D4C83A3F4BF3989DFA79E15596A27F384787991A3186","730E3A347B4A1C8D2C724E7B5A124137AD50F0B91F200BC3D848CBDAECB9EF03","PARSED","752.95","7.53","1.83","1.88","141","41.84","127.98","1.24","5.8833","6.0726","5.53","8","394BFDF47342C0C187EFE903A536A3CD735F046C6264374DD4CA817B85414093"
"19","rvsrq_rr165","upper_neighbor","true","1.65","recent_2023_2026","2023.01.01","2026.07.12","1","9FE0CDA4CF95A421B19646148B6BE52DF8340FE87D22175F5D4F3B5056E71FBC","0AF69BFE66200C6CB6F1D4C83A3F4BF3989DFA79E15596A27F384787991A3186","730E3A347B4A1C8D2C724E7B5A124137AD50F0B91F200BC3D848CBDAECB9EF03","PARSED","631.16","6.31","1.75","2.33","76","48.68","127.62","1.2","4.9456","5.2583","5.43","6","F85388185CF869614D17AE84C4C26AF33D99EF38DCE26475B0F296F078F8C168"
"20","rvsrq_rr165","upper_neighbor","true","1.65","continuous_2015_2026","2015.01.01","2026.07.12","1","9FE0CDA4CF95A421B19646148B6BE52DF8340FE87D22175F5D4F3B5056E71FBC","0AF69BFE66200C6CB6F1D4C83A3F4BF3989DFA79E15596A27F384787991A3186","730E3A347B4A1C8D2C724E7B5A124137AD50F0B91F200BC3D848CBDAECB9EF03","PARSED","2342.63","23.43","1.84","1.88","415","44.82","144.42","1.21","16.221","19.3636","4.6","8","7E6C877EE054A5E4937FF81793C712B33F24CA20BAEF9C76CEDE54580CBBD525"
